Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000152061,RABGAP1L,regulation of intracellular transport,endocytic vesicle trafficking,cellular response to external stimulus,gtpase activator activity,small gtpase binding,phospholipid binding,early endosome membrane,golgi apparatus membrane,cytoplasmic vesicle membrane
ENSG00000164985,PSIP1,chromatin remodeling,mrna 5'-splice site recognition,response to heat,supercoiled dna binding,rna binding,protein binding,nucleus,euchromatin,cytosol
ENSG00000186222,BLOC1S4,vesicle transport,intracellular transport,organelle biogenesis,protein complex assembly,protein binding,receptor binding,lysosome,cytosol,none
ENSG00000132554,RGS22,negative regulation of signal transduction,regulation of cell proliferation,response to stimulus,g-protein alpha-subunit binding,gtpase activator activity,protein dimerization activity,actin cytoskeleton,nucleus,plasma membrane
ENSG00000187634,SAMD11,negative regulation of transcription by rna polymerase ii,negative regulation of dna-templated transcription,retinal rod cell development,dna-binding transcription repressor activity,rna polymerase ii-specific,histone binding,prc1 complex,nucleus,nucleoplasm
ENSG00000181004,BBS12,intraciliary transport,negative regulation of stem cell differentiation,chaperone-mediated protein complex assembly,protein binding,atp hydrolysis,gtpase activator activity,cilium,membrane,microtubule organizing center
ENSG00000217442,SYCE3,reciprocal meiotic recombination,synaptonemal complex assembly,positive regulation of apoptotic process,protein binding,dna binding,chromatin remodeling,chromosome,nucleus,central element
ENSG00000197084,LCE1C,keratinization,epidermis development,tissue morphogenesis,structural molecule activity,protein binding,lipid binding,corneum,stratum corneum,cytoplasm
ENSG00000123353,ORMDL2,negative regulation of ceramide biosynthetic process,regulation of sphingolipid metabolic process,ceramide metabolic process,protein binding,receptor tyrosine kinase activity,lipid binding,endoplasmic reticulum membrane,serine palmitoyltransferase complex,membrane
ENSG00000147439,BIN3,regulation of lamellipodium assembly,plasma membrane tubulation,skeletal muscle tissue regeneration,cytoskeletal anchor activity,protein binding,lipid binding,actin cytoskeleton,cell cortex,cytoplasm
ENSG00000124383,MPHOSPH10,ribosome biogenesis,rrna processing,rna splicing,rna binding,protein binding,transesterase activity,nucleus,nucleolus,small-subunit processome
ENSG00000182054,IDH2,tricarboxylic acid cycle,glyoxylate cycle,-oxoglutarate metabolic process,isocitrate dehydrogenase (nadp+) activity,nad binding,metal ion binding,mitochondrion,mitochondrial matrix,peroxisome
ENSG00000101489,CELF4,regulation of alternative mrna splicing,via spliceosome,positive regulation of mrna splicing,mrna binding,rna binding,pre-mrna binding,ribonucleoprotein complex,nucleus,cytoplasm
ENSG00000134627,PIWIL4,transposable element silencing by pirna-mediated dna methylation,regulation of translation,secondary pirna processing,pirna binding,rna endonuclease activity,rna binding,pip-body,nucleus,cytoplasm
ENSG00000105993,DNAJB6,negative regulation of dna-templated transcription,regulation of cellular response to heat,actin cytoskeleton organization,hsp70 protein binding,unfolded protein binding,atpase activator activity,nucleus,nucleoplasm,cytoplasm
ENSG00000174132,FAM174A,cell proliferation regulation,signal transduction,growth factor receptor signaling pathway,protein serine/threonine kinase activity,receptor tyrosine kinase activity,gtpase activator activity,plasma membrane,lipid raft,focal adhesion
ENSG00000012822,CALCOCO1,positive regulation of transcription by rna polymerase ii,regulation of gene expression,nuclear receptor-mediated signaling pathway,transcription coactivator activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,transcription coregulator activity,chromatin,nucleus,cytosol
ENSG00000135090,TAOK3,regulation of mapk cascade,positive regulation of jnk cascade,mitotic g2 dna damage checkpoint signaling,histone h2xs139 kinase activity,histone h2as1 kinase activity,histone h2bs14 kinase activity,cytoplasm,plasma membrane,nucleus
ENSG00000184650,ODF4,spermatogenesis,cell differentiation,apoptotic signaling pathway,protein serine/threonine kinase activity,microtubule binding,atp binding,cytoskeleton,plasma membrane,vesicle
ENSG00000169223,LMAN2,positive regulation of phagocytosis,retrograde vesicle-mediated transport,protein transport,protein binding,d-mannose binding,carbohydrate binding,copii-coated er to golgi transport vesicle,golgi apparatus,endoplasmic reticulum
ENSG00000187238,LCE3B,defense response to gram-negative bacterium,killing of cells of another organism,epidermis development,protein binding,lipid binding,structural molecule activity,stratum corneum,cell junction,epidermis
ENSG00000160472,TMEM190,hematopoietic progenitor cell differentiation,stem cell differentiation,cell fate determination,identical protein binding,protein heterodimerization,transcription factor binding,inner acrosomal membrane,nuclear envelope,plasma membrane
ENSG00000115540,MOB4,negative regulation of hippo signaling pathway,signal transduction,cell proliferation,protein binding,metal ion binding,adaptor activity,golgi apparatus,far/sin/stripak complex,cytoplasm
ENSG00000120907,ADRA1A,positive regulation of cardiac muscle contraction,positive regulation of erk1 and erk2 cascade,positive regulation of heart rate by epinephrine-norepinephrine,alpha1-adrenergic receptor activity,g protein-coupled receptor activity,protein binding,plasma membrane,caveola,nucleus
ENSG00000125875,TBC1D20,regulation of cilium assembly,positive regulation of er to golgi vesicle-mediated transport,positive regulation of gtpase activity,gtpase activator activity,small gtpase binding,protein binding,endoplasmic reticulum membrane,endoplasmic reticulum,golgi membrane
ENSG00000105613,MAST1,protein phosphorylation,chromatin remodeling,intracellular signal transduction,histone h3t11 kinase activity,histone h2axs139 kinase activity,histone h2bs14 kinase activity,cytoskeleton,neuronal cell body,plasma membrane
ENSG00000004455,AK2,nucleotide metabolic process,atp metabolic process,adp biosynthetic process,adenylate kinase activity,nucleoside diphosphate kinase activity,kinase activity,mitochondrion,cytoplasm,extracellular exosome
ENSG00000134588,USP26,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of androgen receptor signaling pathway,cell cycle progression,k48-linked deubiquitinase activity,cysteine-type deubiquitinase activity,deubiquitinase activity,nucleus,cytosol,cytoplasm
ENSG00000198000,NOL8,rrna processing,ribosome biogenesis,nucleolar assembly,rna binding,protein-dna binding,ubiquitin protein ligase activity,nucleoplasm,nuclear membrane,nucleolus
ENSG00000121742,GJB6,gap junction assembly,cellular response to glucose stimulus,ear morphogenesis,gap junction channel activity,microtubule binding,protein binding,gap junction,connexin complex,apical plasma membrane
ENSG00000113441,LNPEP,protein catabolic process,antigen processing and presentation of exogenous peptide antigen via mhc class i,tap-independent,metalloaminopeptidase activity,zinc ion binding,aminopeptidase activity,lysosomal membrane,plasma membrane,extracellular region
ENSG00000163947,ARHGEF3,regulation of cell migration,positive regulation of rho protein signal transduction,regulation of actin cytoskeleton organization,guanyl-nucleotide exchange factor activity,protein binding,receptor tyrosine kinase binding,cytosol,membrane ruffles,focal adhesions
ENSG00000196715,VKORC1L1,peptidyl-glutamic acid carboxylation,cellular response to oxidative stress,vitamin k metabolic process,vitamin-k-epoxide reductase (warfarin-sensitive) activity,oxidoreductase activity,acting on ch or ch2 groups,endoplasmic reticulum membrane,endoplasmic reticulum,integral component of membrane
ENSG00000116771,AGMAT,putrescine biosynthetic process from arginine,via agmatine,arginine metabolic process,agmatinase activity,arginase activity,hydrolase activity,mitochondrion,membrane,inner mitochondrial membrane
ENSG00000154237,LRRK1,positive regulation of intracellular signal transduction,positive regulation of canonical wnt signaling pathway,regulation of signal transduction,histone h2at120 kinase activity,atp binding,histone h3t3 kinase activity,cytoplasm,mitochondrion,plasma membrane
ENSG00000139350,NEDD1,mitotic cell cycle,microtubule nucleation,cell division,gamma-tubulin binding,protein binding,microtubule binding,centrosome,centriole,pericentriolar material
ENSG00000187569,DPPA3,chromatin remodeling,dna methylation,cellular differentiation,histone binding,dna binding,transcription regulator activity,nucleus,chromatin,mitotic spindle
ENSG00000164972,C9orf24,cell proliferation regulation,dna repair,response to stress,dna binding,protein homodimerization activity,atp binding,nucleus,nucleolus,cytosol
ENSG00000010219,DYRK4,chromatin remodeling,regulation of transcription dna-templated,cell cycle arrest,histone h3y41 kinase activity,protein serine/threonine kinase activity,protein tyrosine kinase activity,nucleus,nucleolus,cytoplasm
ENSG00000240386,LCE1F,keratinocyte differentiation,epidermal barrier function,cell proliferation regulation,structural molecule activity,lipid binding,enzyme regulator activity,corneocyte envelope,plasma membrane,extracellular matrix
ENSG00000187223,LCE2D,keratinization,epithelial cell differentiation,skin barrier formation,structural constituent of cuticle,lipid binding,proteasome complex assembly,stratum corneum,corneocyte,epidermal layer
ENSG00000171311,EXOSC1,rrna processing,rna catabolic process,translational regulation,rna exonuclease activity,rna binding,protein-dna interaction,nuclear exosome (rnase complex),nucleolar exosome (rnase complex),ribosome
ENSG00000275513,KIR3DL3,immune response regulation,cell surface receptor signaling pathway,signal transduction,receptor tyrosine kinase activity,protein dimerization,ligand binding,plasma membrane,immunoglobulin-like domain,extracellular space
ENSG00000160888,IER2,positive regulation of transcription,dna-templated,response to growth factor stimulus,sequence-specific dna binding,rna polymerase ii regulatory region sequence binding,protein dimerization activity,nucleus,nucleoplasm,cytosol
ENSG00000154832,CXXC1,regulation of gene expression,positive regulation of transcription dna-templated,dna-templated transcription,none,none,none,nuclear speck,nuclear matrix,histone methyltransferase complex
ENSG00000146147,MLIP,negative regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,negative regulation of cardiac muscle hypertrophy,transcription corepressor activity,lamin binding,dna binding,nucleus,nuclear envelope,pml body
ENSG00000077063,CTTNBP2,regulation of synapse organization,regulation of postsynaptic actin cytoskeleton remodeling,neuron development,sh3 domain binding,protein binding,receptor tyrosine kinase activity,postsynaptic actin cytoskeleton,glutamatergic synapse,dendritic spine
ENSG00000138669,PRKG2,negative regulation of chloride transport,positive regulation of chondrocyte differentiation,protein phosphorylation,cgmp-dependent protein kinase activity,protein serine/threonine kinase activity,cgmp binding,plasma membrane,nuclear membrane,cytosol
ENSG00000167618,LAIR2,immune response-regulating signaling pathway,negative regulation of immune system process,inflammatory response,protein binding,immunoglobulin receptor binding,cell surface receptor activity,plasma membrane,receptor complex,external side of plasma membrane
ENSG00000138080,EMILIN1,negative regulation of gene expression,negative regulation of angiogenesis,negative regulation of macrophage migration,integrin binding involved in cell-matrix adhesion,protein binding,molecular adaptor activity,extracellular exosome,collagen-containing extracellular matrix,emilin complex
ENSG00000115446,UNC50,protein localization to plasma membrane,cell migration,signal transduction,rna binding,protein-protein interaction,chromatin remodeling,nuclear inner membrane,endoplasmic reticulum membrane,plasma membrane
ENSG00000109519,GRPEL1,protein import into mitochondrial matrix,intracellular protein transport,mitochondrial translation initiation,protein-folding chaperone binding,unfolded protein binding,adenyl-nucleotide exchange factor activity,mitochondrion,mitochondrial inner membrane,mitochondrial matrix
ENSG00000092200,RPGRIP1,ciliary structure assembly,neural precursor cell proliferation,retinal rod cell development,thromboxane a2 receptor binding,protein binding,signaling pathway regulation,non-motile cilium,photoreceptor connecting cilium,axoneme
ENSG00000107831,FGF8,positive regulation of gene expression,positive regulation of erk1 and erk2 cascade,fibroblast growth factor receptor signaling pathway,type 1 fibroblast growth factor receptor binding,type 2 fibroblast growth factor receptor binding,growth factor activity,external side of plasma membrane,extracellular region,cytoplasm
ENSG00000138036,DYNC2LI1,regulation of cilium assembly,intraciliary transport involved in cilium assembly,determination of left/right symmetry,dynein heavy chain binding,protein binding,cytoskeletal protein binding,motile cilium,microtubule,golgi apparatus
ENSG00000132010,ZNF20,regulation of transcription by rna polymerase ii,regulation of gene expression,transcriptional repression,dna-binding transcription factor activity,rna polymerase ii-specific dna binding,protein binding,nucleus,nucleoplasm,chromatin
ENSG00000172748,ZNF596,regulation of transcription by rna polymerase ii,regulation of dna-templated transcription,gene expression,dna-binding transcription factor activity,rna polymerase ii-specific,metal ion binding,nucleus,nucleoplasm,nuclear body
ENSG00000179833,SERTAD2,positive regulation of dna-templated transcription,negative regulation of cell growth,regulation of cell cycle,transcription coactivator activity,protein binding,dna-binding,nucleus,nucleoplasm,cytoplasm
ENSG00000010322,NISCH,regulation of cell migration,apoptotic process,rac protein signal transduction,integrin binding,dynein heavy chain binding,phosphatidylinositol binding,recycling endosome,plasma membrane,microtubule cytoskeleton
ENSG00000123595,RAB9A,positive regulation of exocytosis,retrograde transport,regulation of protein localization,gtpase activity,gtp binding,protein binding,late endosome,lysosome,phagocytic vesicle membrane
ENSG00000101901,ALG13,protein modification process,dolichol-linked oligosaccharide biosynthetic process,proteolysis,cysteine-type deubiquitinase activity,n-acetylglucosaminyldiphosphodolichol n-acetylglucosaminyltransferase activity,glycosyltransferase activity,endoplasmic reticulum membrane,endoplasmic reticulum lumen,golgi apparatus
ENSG00000121454,LHX4,regulation of transcription by rna polymerase ii,negative regulation of apoptotic process,motor neuron axon guidance,dna-binding transcription activator activity,sequence-specific double-stranded dna binding,rna polymerase ii-specific,nucleus,chromatin,cytosol
ENSG00000161981,SNRNP25,mrna splicing via spliceosome,mrna processing,rna splicing,protein binding,rna binding,pre-mrna binding,nucleus,u12-type spliceosomal complex,nucleoplasm
ENSG00000149503,INCENP,positive regulation of mitotic cell cycle spindle assembly checkpoint,positive regulation of mitotic sister chromatid separation,mitotic spindle assembly,protein binding,molecular function activator activity,chromosome passenger complex (cpc) binding,kinetochore,microtubule,nucleus
ENSG00000164256,PRDM9,positive regulation of meiotic recombination,double-strand break repair involved in meiotic recombination,regulation of dna-templated transcription,histone h3k4 trimethyltransferase activity,histone h3k9 trimethyltransferase activity,histone h4k20me methyltransferase activity,nucleus,chromosome,nucleolus
ENSG00000168679,SLC16A4,monocarboxylic acid transport,transmembrane transport,carboxylic acid transmembrane transport,monocarboxylic acid transmembrane transporter activity,symporter activity,proton-coupled monocarboxylate transporter activity,plasma membrane,membrane raft,cell membrane
ENSG00000165633,VSTM4,angiogenesis,endothelial cell proliferation,vasodilation,protein binding,receptor tyrosine kinase activity,cell adhesion molecule binding,plasma membrane,extracellular matrix,blood vessel
ENSG00000162702,ZNF281,regulation of transcription,negative regulation of gene expression,embryonic development,dna-binding transcription repressor activity,sequence-specific dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,nucleoplasm,chromatin
ENSG00000111452,ADGRD1,receptor tyrosine kinase signaling pathway,cell surface receptor signaling pathway,signal transduction,g protein-coupled receptor activity,signal transducer activity,protein binding,plasma membrane,nucleoplasm,cytosol
ENSG00000243279,PRAF2,synaptic vesicle transport,neurotransmitter transport,signal transduction involved in synaptic transmission,none,none,none,synapse,neuronal membrane,postsynaptic density
ENSG00000244411,KRTAP5-7,regulation of cell proliferation,response to stress,cell differentiation,structural molecule activity,protein dimerization,signal transduction,cytoskeleton,keratin filament,nucleus
ENSG00000185900,POMK,protein o-linked glycosylation,carbohydrate phosphorylation,endoplasmic reticulum membrane biogenesis,carbohydrate kinase activity,protein kinase activity,atp binding,endoplasmic reticulum lumen,endoplasmic reticulum membrane,golgi apparatus
,FGFR1OP,regulation of cell proliferation,cell cycle arrest,response to growth factor stimulus,protein binding,kinase regulator activity,signal transducer activity,cytoplasm,membrane ruffle,receptor complex
ENSG00000198937,CCDC167,cell cycle regulation,cell differentiation,apoptotic process,kinase regulator activity,gtpase activator activity,receptor tyrosine kinase binding,plasma membrane,endoplasmic reticulum,cytosol
ENSG00000267467,APOC4,positive regulation of lipid storage,triglyceride homeostasis,lipid transport,lipid transporter activity,protein binding,phospholipid binding,high-density lipoprotein particle,lipoprotein complex,extracellular region
ENSG00000106588,PSMA2,proteasome-mediated ubiquitin-dependent protein catabolic process,response to virus,ubiquitin-dependent protein catabolic process,protein binding,receptor tyrosine kinase activity,signal transduction,proteasome complex,p-body,nucleus
ENSG00000276358,PLEKHM1,positive regulation of ruffle assembly,autophagosome-lysosome fusion,autophagy,metal ion binding,protein binding,receptor tyrosine kinase activity,autolysosome membrane,lysosomal membrane,late endosome membrane
ENSG00000033627,ATP6V0A1,regulation of macroautophagy,lysosomal lumen acidification,endosomal lumen acidification,proton-transporting atpase activity,protein binding,atpase binding,lysosomal membrane,synaptic vesicle membrane,vacuolar proton-transporting v-type atpase complex
ENSG00000085415,SEH1L,negative regulation of torc1 signaling,mrna transport,nucleocytoplasmic transport,protein binding,structural molecule activity,receptor tyrosine kinase activity,nuclear pore outer ring,nucleus,lysosomal membrane
ENSG00000166123,GPT2,l-alanine catabolic process,biosynthetic process,-oxoglutarate metabolic process,transaminase activity,l-alanine:2-oxoglutarate aminotransferase activity,pyridoxal phosphate binding,mitochondrion,mitochondrial matrix,cytoplasmic part
ENSG00000138495,COX17,positive regulation of cell population proliferation,mitochondrial cytochrome c oxidase assembly,copper ion transport,copper ion binding,enzyme activator activity,protein binding,mitochondrion,mitochondrial intermembrane space,cytoplasm
ENSG00000148384,INPP5E,negative regulation of protein localization to cilium,negative regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction,phosphatidylinositol dephosphorylation,phosphatidylinositol-4,-bisphosphate 5-phosphatase activity,phosphatidylinositol-3,nucleus,golgi apparatus,cytoskeleton
ENSG00000116514,RNF19B,protein ubiquitination,natural killer cell mediated cytotoxicity,adaptive immune response,ubiquitin protein ligase activity,ubiquitin-protein transferase activity,zinc ion binding,cytolytic granule,endoplasmic reticulum membrane,ubiquitin ligase complex
ENSG00000136319,TTC5,positive regulation of transcription by rna polymerase ii,dna repair,cellular response to starvation,dna binding,protein binding,chromatin binding,nucleus,nucleoplasm,cytoplasm
ENSG00000132436,FIGNL1,regulation of double-strand break repair via homologous recombination,cellular response to ionizing radiation,negative regulation of intrinsic apoptotic signaling pathway,atp hydrolysis activity,atp binding,chromatin extrusion motor activity,nucleus,nucleoplasm,cytoplasm
ENSG00000102890,ELMO3,phagocytosis,apoptotic process,cell motility,sh3 domain binding,protein binding,gtpase activator activity,cytoplasm,membrane ruffles,focal adhesion
ENSG00000182585,EPGN,positive regulation of mitotic nuclear division,positive regulation of epithelial cell proliferation,mapk cascade,epidermal growth factor receptor binding,transmembrane receptor protein tyrosine kinase activator activity,signaling receptor binding,clathrin-coated endocytic vesicle membrane,plasma membrane,extracellular region
ENSG00000187272,KRTAP9-8,regulation of cell differentiation,epithelial cell development,response to stress,protein homodimerization,protein-dna binding,structural molecule activity,cytoplasm,keratin filament,desmosome
ENSG00000213741,RPS29,cytoplasmic translation,ribosome biogenesis,translational initiation,rrna binding,rna binding,structural constituent of ribosome,cytosolic ribosome,focal adhesion,rough endoplasmic reticulum
ENSG00000188895,MSL1,regulation of gene expression,chromatin remodeling,transcription elongation,histone acetyltransferase activity,protein binding,dna-binding transcription factor activity,nuclear speck,chromosome,msl complex
ENSG00000180616,SSTR2,neuropeptide signaling pathway,somatostatin signaling pathway,cellular response to glucocorticoid stimulus,somatostatin receptor activity,g protein-coupled receptor activity,neuropeptide binding,plasma membrane,neuron projection,cytoplasm
ENSG00000235169,SMIM1,cell adhesion,cell-cell signaling,transmembrane signaling pathway,protein homodimerization activity,receptor binding,signal transduction,plasma membrane,endoplasmic reticulum membrane,cytosol
ENSG00000181016,LSMEM1,cell migration,cell adhesion,signal transduction,receptor tyrosine kinase activity,adaptor molecule activity,protein homodimerization,plasma membrane,lipid raft,focal adhesion
ENSG00000008283,CYB561,intracellular iron ion homeostasis,electron transport chain,ascorbate homeostasis,metal ion binding,transmembrane monodehydroascorbate reductase activity,oxidoreductase activity,lysosomal membrane,cytoplasmic vesicle,endoplasmic reticulum membrane
ENSG00000161980,POLR3K,transcription by rna polymerase iii,termination of rna polymerase iii transcription,innate immune response,dna-directed rna polymerase activity,zinc ion binding,nucleic acid binding,rna polymerase iii complex,nucleus,nucleoplasm
ENSG00000176986,SEC24C,vesicle-mediated transport,intracellular protein transport,copii-coated vesicle cargo loading,snare binding,zinc ion binding,protein binding,copii vesicle coat,endoplasmic reticulum membrane,cytoplasmic vesicle
ENSG00000136352,NKX2-1,regulation of transcription by rna polymerase ii,negative regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,sequence-specific dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,transcription cis-regulatory region binding,nucleus,chromatin,transcription regulator complex
ENSG00000133731,IMPA1,phosphatidylinositol phosphate biosynthetic process,inositol metabolic process,signal transduction,inositol monophosphate 1-phosphatase activity,lithium ion binding,magnesium ion binding,cytoplasm,cytosol,membrane
ENSG00000141401,IMPA2,signal transduction,phosphatidylinositol phosphate biosynthetic process,response to lithium ion,inositol monophosphate 1-phosphatase activity,protein homodimerization activity,hydrolase activity,cytosol,cytoplasm,membrane microdomain
ENSG00000117448,AKR1A1,negative regulation of apoptotic process,daunorubicin metabolic process,doxorubicin metabolic process,aldo-keto reductase (nadph) activity,alcohol dehydrogenase (nadp+) activity,s-nitrosoglutathione reductase (nadph) activity,plasma membrane,extracellular exosome,cytoplasm
ENSG00000101191,DIDO1,regulation of transcription by rna polymerase ii,apoptotic signaling pathway,dna-templated transcription,rna binding,protein binding,metal ion binding,nucleus,cytoskeleton,spindle
ENSG00000121766,ZCCHC17,rna stabilization,mrna processing,translational initiation,rna binding,zinc ion binding,protein-protein interaction,nucleus,nucleolus,cytosolic ribosome
ENSG00000088356,PDRG1,protein stabilization,proteasome-mediated ubiquitin-dependent protein catabolic process,cellular response to dna damage stimulus,protein binding,unfolded protein binding,atpase activity coupled to protein unfolding,cytoplasm,ribosome,nucleolus
ENSG00000092054,MYH7,regulation of the force of skeletal muscle contraction,regulation of heart contraction,transition between fast and slow fiber,actin filament binding,atp binding,microfilament motor activity,myofibril,stress fiber,sarcomere
ENSG00000139648,KRT71,keratinization,intermediate filament organization,hair follicle morphogenesis,structural constituent of skin epidermis,protein binding,dimerization,cytoskeleton,keratin filament,extracellular exosome
ENSG00000148584,A1CF,negative regulation of nuclear-transcribed mrna catabolic process,nonsense-mediated decay,mrna modification,mrna binding,double-stranded rna binding,single-stranded rna binding,nucleus,endoplasmic reticulum,mrna editing complex
ENSG00000117868,ESYT2,endocytosis,lipid transport,vesicle budding,phosphatidylcholine binding,calcium ion binding,cadherin binding,plasma membrane,endoplasmic reticulum-plasma membrane contact site,cytoplasmic side of plasma membrane
ENSG00000139641,ESYT1,phospholipid transport,lipid transport,endoplasmic reticulum-plasma membrane tethering,phosphatidylcholine binding,phospholipid transfer activity,calcium-dependent phospholipid binding,endoplasmic reticulum membrane,plasma membrane,membrane ruffle
ENSG00000177108,ZDHHC22,protein targeting to membrane,protein localization to plasma membrane,lipid biosynthetic process,protein-cysteine s-palmitoyltransferase activity,acyltransferase activity,lipid binding,plasma membrane,endoplasmic reticulum membrane,golgi apparatus
ENSG00000272031,ANKRD34A,rna silencing,gene expression regulation,mrna degradation,helicase activity,rna binding,protein-protein interaction,cytoplasmic stress granule,rna granule,nucleolus
ENSG00000011009,LYPLA2,prostaglandin catabolic process,fatty acid metabolic process,protein depalmitoylation,lysophospholipase activity,palmitoyl-(protein) hydrolase activity,cadherin binding,extracellular exosome,golgi stack,cytoplasm
ENSG00000112655,PTK7,regulation of canonical wnt signaling pathway,axon guidance,positive regulation of neuron projection development,protein kinase activity,axon guidance receptor activity,coreceptor activity,focal adhesion,cell-cell junction,plasma membrane
ENSG00000171956,FOXB1,regulation of transcription by rna polymerase ii,regulation of dna-templated transcription,epithelial cell differentiation,dna-binding transcription factor activity,sequence-specific double-stranded dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,chromatin,transcriptional regulatory region dna binding site
ENSG00000117525,F3,positive regulation of interleukin-8 production,positive regulation of angiogenesis,activation of blood coagulation via clotting cascade,serine-type endopeptidase activity,protease binding,cytokine receptor activity,collagen-containing extracellular matrix,plasma membrane,external side of plasma membrane
ENSG00000189283,FHIT,regulation of apoptosis,intrinsic apoptotic signaling pathway by p53 class mediator,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,ubiquitin protein ligase binding,bis(5'-adenosyl)-triphosphatase activity,adenylylsulfatase activity,nucleus,mitochondrion,cytoplasm
ENSG00000132963,POMP,proteasome assembly,protein folding,cellular protein modification,ubiquitin-protein ligase binding,chaperone binding,atp binding,nuclear speck,proteasome,endoplasmic reticulum lumen
ENSG00000176273,SLC35G1,calcium ion export,regulation of cellular calcium ion homeostasis,response to calcium stimulus,protein-ligand binding,transmembrane transporter activity,ion channel activity,endoplasmic reticulum lumen,plasma membrane,membrane raft
ENSG00000183864,TOB2,regulation of gene expression,negative regulation of cell population proliferation,osteoclast differentiation,transcription corepressor activity,protein binding,nuclear vitamin d receptor binding,nucleus,cytosol,cytoplasm
ENSG00000035141,FAM136A,mitochondrial fission,apoptotic signaling pathway,regulation of autophagy,protein-protein interaction,transcription factor binding,ubiquitin ligase activity,mitochondrion membrane,mitochondrial matrix,cytosol
ENSG00000175324,LSM1,rna splicing,negative regulation of neuron differentiation,mrna processing,mrna binding,rna binding,pre-mrna binding,p-body,nucleus,neuronal cell body
ENSG00000158220,ESYT3,lipid transport,endoplasmic reticulum organization,organelle lumen membrane fusion,calcium ion binding,phosphatidylinositol binding,lipid binding,endoplasmic reticulum-plasma membrane contact site,plasma membrane,cytoplasmic side of plasma membrane
ENSG00000055609,KMT2C,regulation of transcription by rna polymerase ii,chromatin remodeling,response to electrical stimulus,histone h3k4 trimethyltransferase activity,histone h3k4 monomethyltransferase activity,histone methyltransferase activity,nucleus,mll3/4 complex,histone methyltransferase complex
ENSG00000182173,TSEN54,trna splicing,mrna processing,trna-type intron splice site recognition and cleavage,protein binding,rna binding,nucleic acid binding,nucleus,nucleolus,trna-intron endonuclease complex
ENSG00000064787,BCAS1,regulation of cell proliferation,rna splicing,positive regulation of dna replication,rna binding,protein homodimerization activity,nucleic acid binding,cytoplasm,membrane raft,extracellular vesicle
ENSG00000128908,INO80,positive regulation of dna repair,positive regulation of transcription by rna polymerase ii,double-strand break repair via homologous recombination,atp hydrolysis activity,atp-dependent h3-h4 histone complex chaperone activity,chromatin extrusion motor activity,nucleus,ino80 complex,chromosome
ENSG00000101442,ACTR5,regulation of dna replication,positive regulation of dna repair,positive regulation of telomere maintenance,protein binding,atp binding,nucleic acid binding,nucleus,nucleoplasm,cytoplasm
ENSG00000155090,KLF10,regulation of transcription by rna polymerase ii,positive regulation of osteoclast differentiation,negative regulation of dna-templated transcription,dna-binding transcription factor activity,rna polymerase ii-specific,sequence-specific double-stranded dna binding,chromatin,nucleus,nuclear chromatin
ENSG00000054598,FOXC1,regulation of transcription by rna polymerase ii,negative regulation of apoptotic process involved in outflow tract morphogenesis,positive regulation of dna-templated transcription,dna-binding transcription activator activity,rna polymerase ii-specific dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,heterochromatin,chromatin
ENSG00000159259,CHAF1B,dna replication,nucleosome assembly,dna repair,histone binding,chromatin binding,unfolded protein binding,nucleus,chromatin,caf-1 complex
ENSG00000198947,DMD,regulation of skeletal muscle contraction,regulation of cardiac muscle contraction,regulation of calcium ion release,actin binding,myosin binding,zinc ion binding,cytoskeleton,nuclear outer membrane,postsynaptic membrane
ENSG00000113327,GABRG2,inhibitory synapse assembly,synaptic transmission,gabaergic synaptic transmission,gaba-gated chloride ion channel activity,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,benzodiazepine receptor activity,postsynaptic membrane,dendrite membrane,cytoplasmic vesicle
ENSG00000100814,CCNB1IP1,protein ubiquitination,meiotic cell cycle,spermatid development,ubiquitin protein ligase activity,identical protein binding,metal ion binding,condensed nuclear chromosome,synaptonemal complex,nucleus
ENSG00000160285,LSS,regulation of protein stability,cholesterol biosynthetic process,steroid biosynthetic process,lanosterol synthase activity,intramolecular transferase activity,isomerase activity,endoplasmic reticulum membrane,lipid droplet,endoplasmic reticulum
ENSG00000133059,DSTYK,positive regulation of erk1 and erk2 cascade,positive regulation of fibroblast growth factor receptor signaling pathway,chromatin remodeling,protein tyrosine kinase activity,histone h3y41 kinase activity,protein serine/threonine kinase activity,basolateral plasma membrane,anchoring junction,cytoplasm
ENSG00000163933,RFT1,glycolipid translocation,protein n-linked glycosylation,cellular response to stress,glycolipid floppase activity,lipid binding,atpase activity,endoplasmic reticulum membrane,golgi apparatus,trans-golgi network
